Unnamed: 0,song_id,artist_id,song,artists,explicit,genres,lyrics
14,spotify:track:4gGG9nh6bohYYDVOQDX18o,spotify:artist:0u2FHSq3ln94y5Q57xazwf,Got It Right This Time,['Keith Urban'],False,australian country;australian pop;contemporary country;country;country road,Got It Right This Time Lyrics She believes in me like I've been trying to do I'm seeing things I've never seen before Ever since she came into my life I've been a better man Run  run running  I was running scared Always looking for a place to leave And I couldn't seem to find where I belonged Till she took my hand We can make this work out  baby I know it's true I can't picture myself with no one but you And I think I got it right this time Oh  yeah All of my life I've been looking for someone Who believes in love the way I do And I know I've made my share of big mistakes But girl I promise you We can make this work out  baby I know it's true I can't picture myself with no one but you And I think I got it right this time Oh  yeah True believers always find each other and here we are Always knew that you were out there just waiting on me For me to find my way  find my way to your heart Oh  yeah You might also like We can make this work out  baby I know it's true I can't picture myself with no one but you And I think I got it right this time Oh  yeah Yeah  after all the crazy days Made it through I can't picture myself with no one but you And I think I got it right this time Embed
5465,spotify:track:6J7ECLquNMtdPlNP5G3vhL,spotify:artist:2VYQTNDsvvKN9wmU5W7xpj,Sympathy For The Parents,['Marilyn Manson'],True,alternative metal;industrial;industrial metal;industrial rock;nu metal,Sympathy for the Parents Lyrics— I want to know  um  why it is that all of you seem to have Satanic signs all over you and what is it that make... Does this music cause you to do what you do?— Is that directed at us or the parents?— That's funny  Twiggy. That's your little tape recorder  okay?— Does the music cause us to do what we do? We cause the music to do what it does  I think  I think moshing is a sign of what christians would call  uh  the Apocalypse The gnashing of teeth The Apocalypse The Apocalypse The Apocalypse You might also like Embed
6282,spotify:track:329vs46Ic79eJbqTAA3wzS,spotify:artist:0c173mlxpT3dSFRgMO8XPh,Paradise,['Big Sean'],True,detroit hip hop;hip hop;pop;pop rap;rap;southern hip hop;trap,Paradise Lyrics Yeah Ear Drummers  yeah  yeah Uh-huh Mike Wi LL—Mike Wi LLI always wanted to stunt so hard  I always wanted to ride that whip I always wanted to fuck that bitch  thank you  God  I fucked that bitch I always wanted to live this life  I always wanted to wear that ice I always wanted paradise  I always wanted paradise  look Now it don't take a lot to make you rich I'm addicted to a lot of crazy shit But I feel like money is the best drug Sometimes hate can be the best love Walkin' in like I got cameras on me  niggas can't control me  ain't no handles on me Shit don't get out of hand  it get handled  homie  got a pretty young girl  look like Janet on me She a pretty penny and she know I'm doing numbers ‘til we crash up the whole database I bring it home like I'm base to base to base  closet lookin' like Planet of the Bathing Apes What you think this life just landed on me? My whole city look like it's abandoned  homie And we came straight out of those abandoned homes  every wish we ever had got granted  homie And I'll never take that shit for granted even when the marble floor and counter top is all granite Back before I got paid any advances  back when my rollie was ticking  no dancing Nigga  never did I slip or I panic  even if I was the captain of Titanic Riding through the north Atlantic  homie  I never jumped crew or abandoned  homie All the fruits of my labor organic  homie  making sure my family tree got hammocks on it And a good guy can change  'specially if he short-changed  so fuck is my ransom  homie?Money bag  money bag  money bag Money bag  money bag  money bag Money bag  money bag  money bag Money bag  money bag  money bag You might also like I always wanted to stunt so hard  I always wanted to ride that whip I always wanted to fuck that bitch  thank you  God  I fucked that bitch I always wanted to live this life  I always wanted to wear that ice I always wanted paradise  I always wanted paradise  Straight up Finally Famous  nigga I always wanted paradise3Embed
2943,spotify:track:62RuCzdsp2PLj5dnc3E382,spotify:artist:4gJCFxvqKc43Ifk0UIBB42,Ready Or Not,"['Don Diablo', 'Madison Mars']",False,edm;electro house;house;pop dance;pop edm;progressive electro house;progressive house;tropical house,Ready or Not Lyrics Ready or not  here I come  you can't hide Gonna find you and take it slowly Ready or not  here I come  you can't hide Gonna find you and make you want me Make you want me Make you want me Want me  want me  want me  want me  want me...Ready or not  here I come Ready or not  here I come  here I come  here I come...You can't run away From these styles I got  oh baby  hey baby Cause I got a lot  oh yeah And anywhere you go My whole crew's gonna know Oh baby  hey baby You can't hide from the block  oh no Ready or not  here I come  you can't hide Gonna find you and take it slowly Ready or not  here I come  you can't hide Gonna find you and make you want me Make you want me Make you want me Want me  want me  want me  want me  want me  want me ...Ready or not  here I come Ready or not  here I come  here I come  here I come...Embed
2944,spotify:track:5Lu0arPtmCJ62LO4Rm3fyO,spotify:artist:7mlge4peaoNgzTsY6M32RB,Yesterday,['Marianne Faithfull'],False,art rock;british invasion;folk;folk rock;singer-songwriter,Yesterday Lyrics Yesterday All my troubles seemed so far away Now it looks as though they're here to stay Oh  I believe in yesterday Suddenly I'm not half the one I used to be There's a shadow hanging over me Oh  yesterday came suddenly Why he had to go I don't know  he wouldn't say I said something wrong Now I long for yesterday Yesterday Love was such an easy game to play Now I need a place to hide away Oh  I believe in yesterday Why he had to go I don't know  he wouldn't say I said something wrong Now I long for yesterday Yesterday Love was such an easy game to play Now I need a place to hide away Oh  I believe in yesterday Hmm  hmm  hmm  hmm  hmm  hmm Yesterday You might also like Embed
3412,spotify:track:26R3e7bjY6e9dlgghide8L,spotify:artist:5NGO30tJxFlKixkPSgXcFE,Tea In The Sahara,['The Police'],False,album rock;classic rock;mellow gold;permanent wave;rock,Tea in the Sahara Lyrics My sisters and IHave one wish before we die And it may sound strange As if our minds are deranged Please don't ask us why Beneath the sheltering sky We have this strange obsession You have the means in your possession Tea in the Sahara with you Tea in the Sahara with you The young man agreed He would satisfy their need So they danced for his pleasure With a joy you could not measure They wait for him here The same place every year Beneath the sheltering sky Across the desert he would fly Tea in the Sahara with you Tea in the Sahara with you Tea in the Sahara with you Tea in the Sahara with you The sky turned to black Would he ever come back?They would climb a high dune They would pray to the moon But he'd never return So the sisters would burn As their eyes searched the land With their cups still full of sand You might also like Tea in the Sahara with you Tea in the Sahara with you Tea in the Sahara with you Tea in the Sahara with you Embed
7277,spotify:track:0ZWawhY6GOGoqcN1Gm2Pnk,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,Wild Things,['Alessia Cara'],False,canadian contemporary r&b;canadian pop;dance pop;electropop;pop;post-teen pop,Wild Things Lyrics Find table spaces Say your social graces Bow your head  they're pious here But you and I  we're pioneers We make our own rules Our own room  no bias here Let 'em sell what they are sellin'There are no buyers here So gather all the rebels now We'll rebel rouse and sing aloud We don't care what they say no way  no way And we will leave the empty chairs To those who say we can't sit there We're fine all by ourselves So aye  we brought our drum and this is how we dance No mistakin'  we make our breaks  if you don't like our 808s Then leave us alone  cause we don't need your policies We have no apologies for being...Find me where the wild things are Oh my  we'll be alright Don't mind us  yeah Find me where the wild things are Oh my  we'll be just fine Don't mind us  yeah Find me where the wild things are You might also like I lose my balance on these eggshells You tell me to tread  I'd rather be a wild one instead Don't wanna hang around the in crowd The cool kids aren't cool to me They're not cooler than we are So aye  we brought our drum and this is how we dance No mistakin'  we make our breaks  if you don't like our 808s Then leave us alone  cause we don't need your policies We have no apologies for being...Find me where the wild things are Oh my  we'll be alright Don't mind us  yeah Find me where the wild things are Oh my  we'll be just fine Don't mind us  yeah We will carve our place into time and space We will find our way  or we'll make a way  say hey  hey  hey Find you're great  don't you hide your face And let it shine  shine  shine  shine  shine  shine So aye  we brought our drum and this is how we dance No mistakin'  we make our breaks  if you don't like our 808s Then leave us alone  cause we don't need your policies We have no apologies for being...Find me where the wild things are Oh my  we'll be alright Don't mind us  yeah Find me where the wild things are Oh my  we'll be just fine Don't mind us  yeah Find me where the wild things are58Embed
6355,spotify:track:0rzs1aEhJxvhMaC6m5XyBa,spotify:artist:0L5fC7Ogm2YwgqVCRcF1bT,Wait A Minute My Girl,['Volbeat'],False,alternative metal;danish metal;danish rock,Wait a Minute My Girl Lyrics Wait a minute  my girl Wait a minute  my lover Summer's up  but I want you to know That I won't live a min without you I've been waiting for a while I always had you on my mind Now you're here in flesh and bones My heart beats so and it's scaring me to death But I can't …Wait a minute  my girl Wait a minute  my love Summer's up  but I want you to know That I won't live a min without you Wait a minute  my girl Wait a minute  my lover Summer's up  but I want you to know That I won't live a min without you You might also like There's a light and it's right there in front of me And a voice that whispers family Don't ignore the signs The symbols that are here You might find thе reason why you're herе I've been waiting for a while I always had you on my mind Now you're here in flesh and bones My heart beats so and it's scaring me to death But I can't …Wait a minute  my girl Wait a minute  my lover Summer's up  but I want you to know That I won't live a min without you Try to say the right thing My heart is beating like thunder So wait a minute my Wait a minute my Wait a minute my Wait a minute my Wait a minute my Wait a minute my Wait a minute  my girl2Embed
8668,spotify:track:6JbioaahWqp3efRZWN001d,spotify:artist:00FQb4jTyendYWaN8pK0wa,Bel Air,['Lana Del Rey'],False,art pop;pop,Translations Italiano Español Bel Air Lyrics Gargoyles standing at the front of your gate Trying to tell me to wait  but I can't wait to see you So I run like I'm mad to heaven's door I don't wanna be bad  I won't cheat you no more Roses  Bel Air  take me there I've been waiting to meet you Palm trees in the light  I can see  late at night Darling  I'm waiting to greet you Come to me  baby Spotlight  bad baby  you've got a flair For the violentest kind of love anywhere out there Mon amour  sweet child of mine  you're divine Didn't anyone ever tell you it's okay to shine?Roses  Bel Air  take me there I've been waiting to meet you Palm trees in the light  I can see  late at night Darling  I'm waiting to greet you Come to me  baby Don't be afraid of me Don't be ashamed Walk in the way of my soft resurrection Idol of roses  iconic soul I know your name Lead me to war with your brilliant direction Roses  Bel Air  take me there I've been waiting to meet you Palm trees in the light  I can see  late at night Darling  I'm waiting to greet you Come to me  baby You might also like Roses  Bel Air  take me there I've been waiting to meet you Grenadine  sunshine—can you break this heart of mine?Darling  I'm waiting to greet you Come to me  baby37Embed
932,spotify:track:68vV8zF0yKcdvUD2hDQj94,spotify:artist:0f8MDDzIc6M4uH1xH0o0gy,Kind Hearted Woman Blues,['Robert Johnson'],False,acoustic blues;blues;delta blues;pre-war blues;traditional blues,Kindhearted Woman Blues  Lyrics I got a kind hearted Mama Do anything in this world for me I got a kind hearted Mama Do anything in this world for me But these evil-hearted women Man  they will not let me be I love my baby My baby don't love me I love my baby  oooh My baby don't love me But I really love that woman Can't stand to leave her be A-ain't but the one thing Makes Mister Johnson drink I's worried 'bout how you treat me  baby I begin to think Oh babe  my life don't feel the same You breaks my heart When you call Mister So-and-So's name She's a kindhearted woman She studies evil all the time She's a kindhearted woman She studies evil all the time You well's to kill me As to have it on your mind You might also like1Embed
